id,date,temp
955,2014-03-28,6.4
955,2014-03-29,6.5
955,2014-03-30,6.6
955,2014-03-31,6.7
955,2014-04-01,6.8
955,2014-04-02,7
955,2014-04-03,7.1
955,2014-04-04,7.1
955,2014-04-05,7.2
955,2014-04-06,7.3
955,2014-04-07,7.4
955,2014-04-08,7.4
955,2014-04-09,7.6
955,2014-04-10,7.8
955,2014-04-11,7.8
955,2014-04-12,7.9
955,2014-04-13,7.9
955,2014-04-14,8.1
955,2014-04-15,8.2
955,2014-04-16,8.1
955,2014-04-17,8.2
955,2014-04-18,8.4
955,2014-04-19,8.5
955,2014-04-20,8.6
955,2014-04-21,8.9
955,2014-04-22,9.1
955,2014-04-23,9.3
955,2014-04-24,9.6
955,2014-04-25,9.8
955,2014-04-26,9.9
955,2014-04-27,9.9
955,2014-04-28,9.9
955,2014-04-29,9.9
955,2014-04-30,10.1
955,2014-05-01,10.3
955,2014-05-02,10.4
955,2014-05-03,10.5
955,2014-05-04,10.6
955,2014-05-05,10.7
955,2014-05-06,10.9
955,2014-05-07,11
955,2014-05-08,11.3
955,2014-05-09,11.5
955,2014-05-10,11.8
955,2014-05-11,12
955,2014-05-12,12.2
955,2014-05-13,12.2
955,2014-05-14,12.4
955,2014-05-15,12.6
955,2014-05-16,12.7
955,2014-05-17,12.8
955,2014-05-18,13
955,2014-05-19,13
955,2014-05-20,13.2
955,2014-05-21,13.5
955,2014-05-22,13.7
955,2014-05-23,13.8
955,2014-05-24,14.2
955,2014-05-25,14.3
955,2014-05-26,14.3
955,2014-05-27,14.3
955,2014-05-28,14.5
955,2014-05-29,14.8
955,2014-05-30,15
955,2014-05-31,15.1
955,2014-06-01,15.3
955,2014-06-02,15.3
955,2014-06-03,15.5
955,2014-06-04,15.5
955,2014-06-05,15.8
955,2014-06-06,16.2
955,2014-06-07,16.4
955,2014-06-08,16.6
955,2014-06-09,16.9
955,2014-06-10,16.8
955,2014-06-11,17
955,2014-06-12,17.2
955,2014-06-13,17.3
955,2014-06-14,17.2
955,2014-06-15,17.4
955,2014-06-16,17.5
955,2014-06-17,17.5
955,2014-06-18,17.7
955,2014-06-19,17.9
955,2014-06-20,18.1
955,2014-06-21,18.2
955,2014-06-22,18.5
955,2014-06-23,18.7
955,2014-06-24,18.7
955,2014-06-25,18.9
955,2014-06-26,19.2
955,2014-06-27,19.4
955,2014-06-28,19.3
955,2014-06-29,19.5
955,2014-06-30,19.6
955,2014-07-01,19.9
955,2014-07-02,20.1
955,2014-07-03,20.1
955,2014-07-04,20.1
955,2014-07-05,20.4
955,2014-07-06,20.5
955,2014-07-07,20.7
955,2014-07-08,20.9
955,2014-07-09,21.2
955,2014-07-10,21.2
955,2014-07-11,21.4
955,2014-07-12,21.3
955,2014-07-13,21
955,2014-07-14,21.1
955,2014-07-15,21.2
955,2014-07-16,21.4
955,2014-07-17,21.2
955,2014-07-18,21.6
955,2014-07-19,21.8
955,2014-07-20,22.1
955,2014-07-21,22.1
955,2014-07-22,22.5
955,2014-07-23,22.4
955,2014-07-24,22.4
955,2014-07-25,22.6
955,2014-07-26,22.6
955,2014-07-27,22.6
955,2014-07-28,22.6
955,2014-07-29,22.6
955,2014-07-30,22.8
955,2014-07-31,22.9
955,2014-08-01,22.9
955,2014-08-02,23.1
955,2014-08-03,23.3
955,2014-08-04,23.4
955,2014-08-05,23.6
955,2014-08-06,23.4
955,2014-08-07,23.6
955,2014-08-08,23.3
955,2014-08-09,23.4
955,2014-08-10,23.3
955,2014-08-11,22.9
955,2014-08-12,22.8
955,2014-08-13,22.9
955,2014-08-14,22.7
955,2014-08-15,22.7
955,2014-08-16,22.9
955,2014-08-17,23
955,2014-08-18,23
955,2014-08-19,23
955,2014-08-20,23.1
955,2014-08-21,23.3
955,2014-08-22,23.2
955,2014-08-23,23.3
955,2014-08-24,23.5
955,2014-08-25,23.5
955,2014-08-26,23.5
955,2014-08-27,23.6
955,2014-08-28,23.7
955,2014-08-29,23.7
955,2014-08-30,23.7
955,2014-08-31,23.8
955,2014-09-01,23.8
955,2014-09-02,23.8
955,2014-09-03,23.7
955,2014-09-04,23.7
955,2014-09-05,23.8
955,2014-09-06,23.8
955,2014-09-07,23.9
955,2014-09-08,23.9
955,2014-09-09,23.8
955,2014-09-10,23.6
955,2014-09-11,23.6
955,2014-09-12,23.5
955,2014-09-13,23.5
955,2014-09-14,23.5
955,2014-09-15,23.5
955,2014-09-16,23.5
955,2014-09-17,23.3
955,2014-09-18,23.2
955,2014-09-19,23.2
955,2014-09-20,23.2
955,2014-09-21,23.1
955,2014-09-22,23.1
955,2014-09-23,23.1
955,2014-09-24,23
955,2014-09-25,22.9
955,2014-09-26,22.9
955,2014-09-27,22.9
955,2014-09-28,22.9
955,2014-09-29,22.8
955,2014-09-30,22.7
955,2014-10-01,22.6
955,2014-10-02,22.4
955,2014-10-03,22.1
955,2014-10-04,22
955,2014-10-05,21.8
955,2014-10-06,21.6
955,2014-10-07,21.5
955,2014-10-08,21.3
955,2014-10-09,21.3
955,2014-10-10,21.3
955,2014-10-11,21.2
955,2014-10-12,21.1
955,2014-10-13,21
955,2014-10-14,20.8
955,2014-10-15,20.6
955,2014-10-16,20.4
955,2014-10-17,19.8
955,2014-10-18,19.8
955,2014-10-19,19.8
955,2014-10-20,19.7
955,2014-10-21,19.6
955,2014-10-22,19.4
955,2014-10-23,19.3
955,2014-10-24,19.3
955,2014-10-25,19.4
955,2014-10-26,19.3
955,2014-10-27,18.9
955,2014-10-28,18.6
955,2014-10-29,18.5
955,2014-10-30,18.5
955,2014-10-31,18.4
955,2014-11-01,18.3
955,2014-11-02,17.9
955,2014-11-03,16.9
955,2014-11-04,17
955,2014-11-05,17.2
955,2014-11-06,17.2
955,2014-11-07,17.1
955,2014-11-08,17
955,2014-11-09,16.8
955,2014-11-10,16.7
955,2014-11-11,16.6
955,2014-11-12,16.1
955,2014-11-13,14.9
955,2014-11-14,14.6
955,2014-11-15,14.7
955,2014-11-16,14.5
955,2014-11-17,14.3
955,2014-11-18,14.1
955,2014-11-19,14
955,2014-11-20,14
955,2014-11-21,14.2
955,2014-11-22,14.1
955,2014-11-23,14.1
955,2014-11-28,13.7
955,2014-11-29,13.6
955,2014-11-30,13.6
955,2014-12-02,11.2
955,2014-12-03,11.2
955,2014-12-04,11.3
955,2014-12-05,10.9
955,2014-12-06,10.6
955,2014-12-07,10.4
955,2014-12-08,10.3
955,2014-12-09,10
955,2014-12-10,10
955,2014-12-11,9.7
955,2014-12-12,9.4
955,2014-12-13,9.2
955,2014-12-14,8.9
955,2014-12-15,8.8
955,2014-12-16,8
955,2014-12-17,6.1
955,2014-12-18,5.6
955,2014-12-19,6.4
955,2014-12-20,6.5
955,2014-12-21,6.2
955,2014-12-22,6.3
955,2014-12-23,6.6
955,2014-12-24,6.6
955,2014-12-25,6.4
955,2014-12-26,6.3
955,2014-12-27,6.1
955,2014-12-28,6.1
955,2014-12-29,6.1
955,2014-12-30,6.1
955,2014-12-31,5.9
955,2015-01-01,5
955,2015-01-02,4.6
955,2015-01-03,4.8
955,2015-01-04,5.1
955,2015-01-05,5.2
955,2015-01-06,5.2
955,2015-01-07,4.5
955,2015-01-08,4.3
955,2015-01-09,4.6
955,2015-01-10,4.6
955,2015-01-11,4.6
955,2015-01-12,4.5
955,2015-01-13,4.3
955,2015-01-14,4.3
955,2015-01-15,4.3
955,2015-01-16,4.3
955,2015-01-17,3.9
955,2015-01-18,3.9
955,2015-01-19,3.9
955,2015-01-20,4
955,2015-01-21,4.1
955,2015-01-22,4.1
955,2015-01-23,4.2
955,2015-01-24,4.2
955,2015-01-25,4.3
955,2015-01-26,4.2
955,2015-01-27,4.1
955,2015-01-28,3.8
955,2015-01-29,3.7
955,2015-01-30,3.6
955,2015-01-31,3.4
955,2015-02-01,3.4
955,2015-02-02,3.4
955,2015-02-03,3.6
955,2015-02-04,3.6
